date,vendor_id,rate
09/09/2019,7,0.24
09/09/2019,8,0.16
09/09/2019,9,0.07
10/09/2019,1,0.05
10/09/2019,2,0.14
10/09/2019,3,0.07
10/09/2019,4,0.09
10/09/2019,5,0.27
10/09/2019,6,0.24
10/09/2019,7,0.18
10/09/2019,8,0.21
10/09/2019,9,0.17
11/09/2019,1,0.22
11/09/2019,2,0.08
11/09/2019,3,0.17
11/09/2019,4,0.09
11/09/2019,5,0.13
11/09/2019,6,0.14
11/09/2019,7,0.24
11/09/2019,8,0.28
11/09/2019,9,0.24
12/09/2019,1,0.05
12/09/2019,2,0.13
12/09/2019,3,0.21
12/09/2019,4,0.16
12/09/2019,5,0.14
12/09/2019,6,0.14
12/09/2019,7,0.13
12/09/2019,8,0.14
12/09/2019,9,0.21
13/09/2019,1,0.07
13/09/2019,2,0.2
13/09/2019,3,0.1
13/09/2019,4,0.14
13/09/2019,5,0.21
13/09/2019,6,0.19
13/09/2019,7,0.06
13/09/2019,8,0.12
13/09/2019,9,0.09
14/09/2019,1,0.08
14/09/2019,2,0.08
14/09/2019,3,0.27
14/09/2019,4,0.24
14/09/2019,5,0.15
14/09/2019,6,0.3
14/09/2019,7,0.3
14/09/2019,8,0.1
14/09/2019,9,0.15
15/09/2019,1,0.27
15/09/2019,2,0.19
15/09/2019,3,0.12
15/09/2019,4,0.21
15/09/2019,5,0.3
15/09/2019,6,0.09
15/09/2019,7,0.27
15/09/2019,8,0.29
15/09/2019,9,0.28
16/09/2019,1,0.25
16/09/2019,2,0.25
16/09/2019,3,0.2
16/09/2019,4,0.25
16/09/2019,5,0.08
16/09/2019,6,0.08
16/09/2019,7,0.3
16/09/2019,8,0.08
16/09/2019,9,0.28
17/09/2019,1,0.29
17/09/2019,2,0.27
17/09/2019,3,0.19
17/09/2019,4,0.13
17/09/2019,5,0.23
17/09/2019,6,0.24
17/09/2019,7,0.23
17/09/2019,8,0.1
17/09/2019,9,0.08
18/09/2019,1,0.23
18/09/2019,2,0.24
18/09/2019,3,0.2
18/09/2019,4,0.06
18/09/2019,5,0.23
18/09/2019,6,0.22
18/09/2019,7,0.08
18/09/2019,8,0.28
18/09/2019,9,0.25
19/09/2019,1,0.12
19/09/2019,2,0.14
19/09/2019,3,0.12
19/09/2019,4,0.05
19/09/2019,5,0.29
19/09/2019,6,0.28
19/09/2019,7,0.11
19/09/2019,8,0.14
19/09/2019,9,0.07
20/09/2019,1,0.2
20/09/2019,2,0.07
20/09/2019,3,0.09
20/09/2019,4,0.1
20/09/2019,5,0.1
20/09/2019,6,0.08
20/09/2019,7,0.27
20/09/2019,8,0.21
20/09/2019,9,0.07
21/09/2019,1,0.2
21/09/2019,2,0.06
21/09/2019,3,0.15
21/09/2019,4,0.13
21/09/2019,5,0.23
21/09/2019,6,0.23
21/09/2019,7,0.24
21/09/2019,8,0.18
21/09/2019,9,0.28
22/09/2019,1,0.11
22/09/2019,2,0.15
22/09/2019,3,0.14
22/09/2019,4,0.12
22/09/2019,5,0.24
22/09/2019,6,0.27
22/09/2019,7,0.27
22/09/2019,8,0.06
22/09/2019,9,0.14
23/09/2019,1,0.17
23/09/2019,2,0.29
23/09/2019,3,0.24
23/09/2019,4,0.15
23/09/2019,5,0.08
23/09/2019,6,0.24
23/09/2019,7,0.27
23/09/2019,8,0.08
23/09/2019,9,0.11
24/09/2019,1,0.21
24/09/2019,2,0.2
24/09/2019,3,0.15
24/09/2019,4,0.15
24/09/2019,5,0.09
24/09/2019,6,0.29
24/09/2019,7,0.19
24/09/2019,8,0.16
24/09/2019,9,0.24
25/09/2019,1,0.13
25/09/2019,2,0.27
25/09/2019,3,0.26
25/09/2019,4,0.19
25/09/2019,5,0.3
25/09/2019,6,0.05
25/09/2019,7,0.3
25/09/2019,8,0.1
25/09/2019,9,0.18
26/09/2019,1,0.22
26/09/2019,2,0.18
26/09/2019,3,0.15
26/09/2019,4,0.16
26/09/2019,5,0.09
26/09/2019,6,0.17
26/09/2019,7,0.14
26/09/2019,8,0.2
26/09/2019,9,0.21
27/09/2019,1,0.1
27/09/2019,2,0.08
27/09/2019,3,0.06
27/09/2019,4,0.21
27/09/2019,5,0.22
27/09/2019,6,0.06
27/09/2019,7,0.08
27/09/2019,8,0.16
27/09/2019,9,0.08
28/09/2019,1,0.17
28/09/2019,2,0.2
28/09/2019,3,0.21
28/09/2019,4,0.25
28/09/2019,5,0.19
28/09/2019,6,0.28
28/09/2019,7,0.06
28/09/2019,8,0.22
28/09/2019,9,0.3
29/09/2019,1,0.28
29/09/2019,2,0.19
29/09/2019,3,0.16
29/09/2019,4,0.29
29/09/2019,5,0.24
29/09/2019,6,0.11
29/09/2019,7,0.06
29/09/2019,8,0.23
29/09/2019,9,0.21
